title,title_en,title_ko,title_zh,localization_note
Metroid Prime 4: Beyond,Metroid Prime 4: Beyond,메트로이드 프라임 4 비욘드,密特羅德 究極4 穿越未知,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokémon Legends: Z-A,Pokémon Legends: Z-A,Pokémon LEGENDS Z-A,寶可夢傳說 Z-A,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Kirby and the Forgotten Land + Star-Crossed World,Kirby and the Forgotten Land + Star-Crossed World,별의 커비 디스커버리 Nintendo Switch 2 Edition + 스타 크로스드 월드,星之卡比 探索發現 Nintendo Switch 2 Edition + 星耀世界,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Donkey Kong Bananza,Donkey Kong Bananza,동키콩 바난자,咚奇剛 蕉力全開,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Kart World,Mario Kart World,마리오 카트 월드,瑪利歐賽車世界,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Xenoblade Chronicles X: Definitive Edition,Xenoblade Chronicles X: Definitive Edition,제노블레이드 크로니클스 크로스 디피니티브 에디션,異度神劍X 終極版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Donkey Kong Country Returns HD,Donkey Kong Country Returns HD,동키콩 리턴즈 HD,薩爾達傳說 禦天之劍 HD,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario Party Jamboree,Super Mario Party Jamboree,슈퍼 마리오 파티 잼버리,超級瑪利歐派對 空前盛會,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
The Legend of Zelda: Echoes of Wisdom,The Legend of Zelda: Echoes of Wisdom,젤다의 전설 지혜의 투영,薩爾達傳說 智慧的再現,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,페이퍼 마리오 1000년의 문,紙片瑪利歐RPG,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Princess Peach: Showtime!,Princess Peach: Showtime!,프린세스 피치 Showtime!,碧姬公主 表演時刻！,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario vs. Donkey Kong,Mario vs. Donkey Kong,마리오 vs. 동키콩,瑪利歐vs.咚奇剛,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario RPG,Super Mario RPG,슈퍼 마리오 RPG,超級瑪利歐RPG,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
WarioWare: Move It!,WarioWare: Move It!,끝내주게 춤춰라 메이드 인 와리오,超級舞動 瓦利歐製造,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario Bros. Wonder,Super Mario Bros. Wonder,Super Mario Bros. Wonder(슈퍼 마리오브라더스 원더),超級瑪利歐兄弟 驚奇,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pikmin 4,Pikmin 4,피크민 4,皮克敏４,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Everybody 1-2-Switch!,Everybody 1-2-Switch!,Everybody 1-2-Switch!(에브리바디 원 투 스위치),Everybody 1-2-Switch!,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,젤다의 전설 티어스 오브 더 킹덤,薩爾達傳說 王國之淚,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Metroid Prime Remastered,Metroid Prime Remastered,메트로이드 프라임 리마스터,密特羅德 究極 復刻版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Fire Emblem Engage,Fire Emblem Engage,파이어 엠블렘 Engage,Fire Emblem™ Engage,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Scarlet,Pokemon Scarlet,포켓몬스터스칼렛・바이올렛,寶可夢 朱,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Violet,Pokemon Violet,포켓몬스터스칼렛・바이올렛,寶可夢 紫,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Bayonetta 3,Bayonetta 3,베요네타 3,蓓優妮塔3,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Splatoon 3,Splatoon 3,스플래툰 3,斯普拉遁 3,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Xenoblade Chronicles 3,Xenoblade Chronicles 3,제노블레이드 크로니클스 3,異度神劍3,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Strikers: Battle League,Mario Strikers: Battle League,마리오 스트라이커즈 배틀 리그,瑪利歐激戰前鋒 戰鬥聯賽,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo Switch Sports,Nintendo Switch Sports,Nintendo Switch Sports,腦科學專家 川島隆太博士監修 大人的Nintendo Switch腦部鍛鍊,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Kirby and the Forgotten Land,Kirby and the Forgotten Land,별의 커비 디스커버리,星之卡比 探索發現,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Legends: Arceus,Pokemon Legends: Arceus,Pokémon LEGENDS 아르세우스,寶可夢傳說 阿爾宙斯,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario 3D World + Bowser's Fury,Super Mario 3D World + Bowser's Fury,슈퍼 마리오 3D 월드 + 퓨리 월드,超級瑪利歐 ３Ｄ世界 ＋ 狂怒世界,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Hyrule Warriors: Age of Calamity,Hyrule Warriors: Age of Calamity,젤다무쌍 대재앙의 시대,ZELDA無雙 災厄啟示錄,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pikmin 3 Deluxe,Pikmin 3 Deluxe,피크민 3 디럭스,皮克敏３ 豪華版,Official regional title where verified; remaining rows keep curated localized title
Part Time UFO,Part Time UFO,알바생 UFO,UFO找工作,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Kart Live: Home Circuit,Mario Kart Live: Home Circuit,마리오 카트 라이브: 홈 서킷,瑪利歐賽車實況：家庭賽車場,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Kirby Fighters 2,Kirby Fighters 2,커비 파이터즈 2,卡比斗士2,Official regional title where verified; remaining rows keep curated localized title
Paper Mario: The Origami King,Paper Mario: The Origami King,페이퍼 마리오 종이접기 킹,紙片瑪利歐：摺紙國王,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Jump Rope Challenge,Jump Rope Challenge,줄넘기 챌린지,Jump Rope Challenge,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Clubhouse Games: 51 Worldwide Classics,Clubhouse Games: 51 Worldwide Classics,세계 게임전집 51,世界遊戲大全51,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Xenoblade Chronicles: Definitive Edition,Xenoblade Chronicles: Definitive Edition,제노블레이드 크로니클스 디피니티브 에디션,異度神劍 終極版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Arcade Archives: Vs. Wrecking Crew,Arcade Archives: Vs. Wrecking Crew,아케이드 아카이브스 VS. 렉킹 크루,Arcade Archives VS. WRECKING CREW,Official regional title where verified; remaining rows keep curated localized title
Good Job!,Good Job!,Good Job!,Good Job!,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Animal Crossing: New Horizons,Animal Crossing: New Horizons,모여봐요 동물의 숲,集合啦！動物森友會,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Mystery Dungeon: Rescue Team DX,Pokemon Mystery Dungeon: Rescue Team DX,포켓몬 불가사의 던전 구조대 DX,宝可梦不可思议迷宫 救助队DX,Official regional title where verified; remaining rows keep curated localized title
Pokemon HOME,Pokemon HOME,Pokémon HOME,Pokémon HOME,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Tokyo Mirage Sessions #FE Encore,Tokyo Mirage Sessions #FE Encore,환영이문록 #FE Encore,幻影異聞錄♯FE Encore,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Arcade Archives: Vs. Balloon Fight,Arcade Archives: Vs. Balloon Fight,아케이드 아카이브스 VS. 벌룬 파이트,街机档案 VS. 气球大战,Official regional title where verified; remaining rows keep curated localized title
Pokemon Shield,Pokemon Shield,포켓몬스터소드 · 실드,寶可夢 盾,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Sword,Pokemon Sword,포켓몬스터소드 · 실드,寶可夢 劍,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
The Stretchers,The Stretchers,스트레처즈,救援担架队,Official regional title where verified; remaining rows keep curated localized title
Luigi's Mansion 3,Luigi's Mansion 3,루이지 맨션 3,路易吉洋樓３,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Ring Fit Adventure,Ring Fit Adventure,링 피트 어드벤처,健身環大冒險,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Little Town Hero,Little Town Hero,리틀 타운 히어로,小镇英雄,Official regional title where verified; remaining rows keep curated localized title
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,드래곤 퀘스트 XI S 지나간 시간을 찾아서 - Definitive Edition,勇者鬥惡龍XI S 尋覓逝去的時光 – Definitive Edition,Official regional title where verified; remaining rows keep curated localized title
Daemon X Machina,Daemon X Machina,DAEMON X MACHINA,DAEMON X MACHINA（機甲戰魔）,Official regional title where verified; remaining rows keep curated localized title
Super Kirby Clash,Super Kirby Clash,슈퍼 커비 헌터즈,超級卡比獵人隊,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Astral Chain,Astral Chain,ASTRAL CHAIN (애스트럴 체인),異界鎖鏈,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Arcade Archives: Pinball,Arcade Archives: Pinball,아케이드 아카이브스 핀볼,Arcade Archives PINBALL,Official regional title where verified; remaining rows keep curated localized title
Fire Emblem: Three Houses,Fire Emblem: Three Houses,파이어 엠블렘 풍화설월,Fire Emblem 風花雪月,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Marvel Ultimate Alliance 3: The Black Order,Marvel Ultimate Alliance 3: The Black Order,MARVEL ULTIMATE ALLIANCE 3: The Black Order,MARVEL ULTIMATE ALLIANCE 3: The Black Order,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario Maker 2,Super Mario Maker 2,슈퍼 마리오 메이커 2,Super Mario Maker 2（超級瑪利歐創作家 2）,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Arcade Archives: Clu Clu Land,Arcade Archives: Clu Clu Land,아케이드 아카이브스 클루 클루 랜드,街机档案 克鲁克鲁乐园,Official regional title where verified; remaining rows keep curated localized title
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,케이던스 오브 하이랄: 크립트 오브 더 네크로댄서 feat. 젤다의 전설,节奏海拉鲁：死灵舞师地牢 feat. 塞尔达传说,Official regional title where verified; remaining rows keep curated localized title
Tetris 99,Tetris 99,TETRIS® 99,TETRIS® 99,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Travis Strikes Again: No More Heroes,Travis Strikes Again: No More Heroes,Travis Strikes Again: No More Heroes,Travis Strikes Again: No More Heroes,Official regional title where verified; remaining rows keep curated localized title
New Super Mario Bros. U Deluxe,New Super Mario Bros. U Deluxe,뉴 슈퍼 마리오브라더스 U 디럭스,New 超級瑪利歐兄弟U 豪華版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Smash Bros. Ultimate,Super Smash Bros. Ultimate,슈퍼 스매시브라더스 얼티밋,任天堂明星大亂鬥 特別版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Arcade Archives: Urban Champion,Arcade Archives: Urban Champion,아케이드 아카이브스 어반 챔피언,街机档案 都市冠军,Official regional title where verified; remaining rows keep curated localized title
The World Ends with You: Final Remix,The World Ends with You: Final Remix,The World Ends with You -Final Remix-,The World Ends with You -Final Remix-,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario Party,Super Mario Party,슈퍼 마리오 파티,Super Mario Party,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Arcade Archives: Excitebike,Arcade Archives: Excitebike,아케이드 아카이브스 익사이트바이크,街机档案 越野摩托,Official regional title where verified; remaining rows keep curated localized title
Xenoblade Chronicles 2: Torna ~ The Golden Country,Xenoblade Chronicles 2: Torna ~ The Golden Country,제노블레이드 크로니클스 2 황금의 나라 이라,異度神劍2 黃金之國伊拉,Official regional title where verified; remaining rows keep curated localized title
Go Vacation,Go Vacation,GO VACATION,Go Vacation™,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Captain Toad: Treasure Tracker,Captain Toad: Treasure Tracker,Captain Toad: Treasure Tracker,進め！キノピオ隊長,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Octopath Traveler,Octopath Traveler,옥토패스 트래블러,OCTOPATH TRAVELER 歧路旅人,Official regional title where verified; remaining rows keep curated localized title
Mario Tennis Aces,Mario Tennis Aces,마리오 테니스 에이스,马力欧网球 王牌,Official regional title where verified; remaining rows keep curated localized title
Arcade Archives: Donkey Kong,Arcade Archives: Donkey Kong,아케이드 아카이브스 동키콩,街机档案 咚奇刚,Official regional title where verified; remaining rows keep curated localized title
Sushi Striker: The Way of Sushido,Sushi Striker: The Way of Sushido,Sushi Striker: The Way of Sushido,Sushi Striker™: The Way of Sushido (英文版),Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Quest,Pokemon Quest,포켓몬 퀘스트,寶可夢探險尋寶,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Hyrule Warriors: Definitive Edition,Hyrule Warriors: Definitive Edition,젤다무쌍 하이랄의 전설들 DX,ZELDA無雙 海拉魯全明星 豪華版,Official regional title where verified; remaining rows keep curated localized title
Donkey Kong Country: Tropical Freeze,Donkey Kong Country: Tropical Freeze,Donkey Kong Country: Tropical Freeze,咚奇刚国度 热带急冻,Official regional title where verified; remaining rows keep curated localized title
Arcade Archives: Punch-Out!,Arcade Archives: Punch-Out!,아케이드 아카이브스 펀치 아웃!!,Arcade Archives PUNCH-OUT!!,Official regional title where verified; remaining rows keep curated localized title
Kirby Star Allies,Kirby Star Allies,별의 커비 스타 얼라이즈,星之卡比 新星同盟,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Bayonetta 2,Bayonetta 2,베요네타 2,蓓優妮塔2,Official regional title where verified; remaining rows keep curated localized title
Bayonetta,Bayonetta,베요네타,蓓優妮塔 魔兵驚天錄,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Dragon Quest Builders,Dragon Quest Builders,드래곤 퀘스트 빌더즈,勇者鬥惡龍 創世小玩家,Official regional title where verified; remaining rows keep curated localized title
Arcade Archives: Vs. Super Mario Bros.,Arcade Archives: Vs. Super Mario Bros.,아케이드 아카이브스 VS. 슈퍼 마리오브라더스,Arcade Archives: Vs. Super Mario Bros.,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Xenoblade Chronicles 2,Xenoblade Chronicles 2,제노블레이드 크로니클스 2,異度神劍2,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario Odyssey,Super Mario Odyssey,슈퍼 마리오 오디세이,超級瑪利歐 奧德賽,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Fire Emblem Warriors,Fire Emblem Warriors,Fire Emblem Warriors,Fire Emblem無雙,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Arcade Archives: Mario Bros.,Arcade Archives: Mario Bros.,아케이드 아카이브스 마리오브라더스,街机档案 马力欧兄弟,Official regional title where verified; remaining rows keep curated localized title
Pokken Tournament DX,Pokken Tournament DX,폭권 토너먼트 DX,ポッ拳　POKKÉN TOURNAMENT DX,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Sine Mora EX,Sine Mora EX,시네 모라 EX,Sine Mora EX,Official regional title where verified; remaining rows keep curated localized title
Splatoon 2,Splatoon 2,Splatoon 2,Splatoon™ 2 (日文版),Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Flip Wars,Flip Wars,배틀 스포츠 메쿠루,翻转大战,Official regional title where verified; remaining rows keep curated localized title
ARMS,ARMS,ARMS,ARMS,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Kart 8 Deluxe,Mario Kart 8 Deluxe,마리오 카트 8 디럭스,瑪利歐賽車8 豪華版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,젤다의 전설 브레스 오브 더 와일드,薩爾達傳說 曠野之息,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
"Snipperclips - Cut it out, together!","Snipperclips - Cut it out, together!",스니퍼클립스 - 같이 싹둑하고 오려내자,你裁我剪！斯尼帕,Official regional title where verified; remaining rows keep curated localized title
