title,title_en,title_ko,title_zh,localization_note
1-2-Switch,1-2-Switch,1-2-Switch,1-2-Switch,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Celeste,Celeste,Celeste,蔚藍,Official regional title where verified; remaining rows keep curated localized title
Hades,Hades,Hades,哈迪斯,Official regional title where verified; remaining rows keep curated localized title
Hollow Knight,Hollow Knight,Hollow Knight (공허의 기사),空洞骑士,Official regional title where verified; remaining rows keep curated localized title
Metroid Dread,Metroid Dread,메트로이드 드레드,密特羅德 生存恐懼,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
New Pokemon Snap,New Pokemon Snap,New 포켓몬 스냅,New 寶可夢隨樂拍,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Overcooked 2,Overcooked 2,오버쿡드 2,Overcooked! 2,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Stardew Valley,Stardew Valley,Stardew Valley,星露谷物语,Official regional title where verified; remaining rows keep curated localized title
Nintendo Switch 2 Welcome Tour,Nintendo Switch 2 Welcome Tour,Nintendo Switch 2 웰컴 투어,Nintendo Switch 2秘密展,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo GameCube - Nintendo Classics,Nintendo GameCube - Nintendo Classics,Nintendo GameCube - Nintendo Classics,Nintendo GameCube™ – Nintendo Classics,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Drag x Drive,Drag x Drive,Drag x Drive,拖曳＆突破,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Hyrule Warriors: Age of Imprisonment,Hyrule Warriors: Age of Imprisonment,젤다무쌍 봉인 전기,ZELDA無雙 封印戰記,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Kirby Air Riders,Kirby Air Riders,커비의 에어 라이더,卡比的馭天飛行者,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Tennis Fever,Mario Tennis Fever,마리오 테니스 피버,瑪利歐網球 狂熱,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Pokopia,Pokemon Pokopia,Pokémon Pokopia,Pokémon Pokopia,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Yoshi and the Mysterious Book,Yoshi and the Mysterious Book,요시와 신기한 도감,耀西與不可思議的圖鑑,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Star Fox,Star Fox,스타폭스,Star Fox (星際火狐),Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Splatoon Raiders,Splatoon Raiders,스플래툰 레이더스,斯普拉遁 塗擊隊,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,,Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Tomodachi Life 朋友收集 夢想生活,Tomodachi Life 朋友收集 夢想生活,,Tomodachi Life 朋友收集 夢想生活,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokémon Champions,Pokémon Champions,,Pokémon Champions,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Virtual Boy – Nintendo Classics,Virtual Boy – Nintendo Classics,,Virtual Boy – Nintendo Classics,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,,密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
寶可夢傳說 Z-A Nintendo Switch 2 Edition,寶可夢傳說 Z-A Nintendo Switch 2 Edition,,寶可夢傳說 Z-A Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,,超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokémon Friends,Pokémon Friends,,Pokémon Friends,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
異度神劍X 終極版,異度神劍X 終極版,,異度神劍X 終極版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Fitness Boxing 3: Your Personal Trainer,Fitness Boxing 3: Your Personal Trainer,,Fitness Boxing 3: Your Personal Trainer,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Famicom偵探俱樂部 笑臉男ＥＭＩＯ,Famicom偵探俱樂部 笑臉男ＥＭＩＯ,,Famicom偵探俱樂部 笑臉男ＥＭＩＯ,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo World Championships Famicom世界大會,Nintendo World Championships Famicom世界大會,,Nintendo World Championships Famicom世界大會,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
路易吉洋樓２ HD,路易吉洋樓２ HD,,路易吉洋樓２ HD,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Another Code 回憶錄：兩種記憶／記憶之門,Another Code 回憶錄：兩種記憶／記憶之門,,Another Code 回憶錄：兩種記憶／記憶之門,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo 64™ – Nintendo Classics 18+,Nintendo 64™ – Nintendo Classics 18+,,Nintendo 64™ – Nintendo Classics 18+,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
F-ZERO 99,F-ZERO 99,,F-ZERO 99,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
皮克敏１,皮克敏１,,皮克敏１,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
星之卡比 Wii 豪華版,星之卡比 Wii 豪華版,,星之卡比 Wii 豪華版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Game Boy Advance™ – Nintendo Classics,Game Boy Advance™ – Nintendo Classics,,Game Boy Advance™ – Nintendo Classics,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Game Boy™ – Nintendo Classics,Game Boy™ – Nintendo Classics,,Game Boy™ – Nintendo Classics,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Party™ Superstars（瑪利歐派對 超級巨星）,Mario Party™ Superstars（瑪利歐派對 超級巨星）,,Mario Party™ Superstars（瑪利歐派對 超級巨星）,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo 64™ – Nintendo Classics,Nintendo 64™ – Nintendo Classics,,Nintendo 64™ – Nintendo Classics,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
SEGA Mega Drive - Nintendo Switch Online,SEGA Mega Drive - Nintendo Switch Online,,SEGA Mega Drive - Nintendo Switch Online,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
DC Super Hero Girls: Teen Power,DC Super Hero Girls: Teen Power,,DC Super Hero Girls: Teen Power,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Famicom偵探俱樂部 消失的繼承人,Famicom偵探俱樂部 消失的繼承人,,Famicom偵探俱樂部 消失的繼承人,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Fitness Boxing 2: Rhythm & Exercise,Fitness Boxing 2: Rhythm & Exercise,,Fitness Boxing 2: Rhythm & Exercise,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
[Pokémon Café Mix]歡迎光臨！寶可夢咖啡店 ～拌拌繽紛趣～,[Pokémon Café Mix]歡迎光臨！寶可夢咖啡店 ～拌拌繽紛趣～,,[Pokémon Café Mix]歡迎光臨！寶可夢咖啡店 ～拌拌繽紛趣～,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
擔架拍擋™,擔架拍擋™,,擔架拍擋™,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Famicom Nintendo Classics,Super Famicom Nintendo Classics,,Super Famicom Nintendo Classics,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
BOXBOY! ＋ BOXGIRL!,BOXBOY! ＋ BOXGIRL!,,BOXBOY! ＋ BOXGIRL!,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Family Computer Nintendo Classics,Family Computer Nintendo Classics,,Family Computer Nintendo Classics,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo Labo Toy-Con 04: VR套裝,Nintendo Labo Toy-Con 04: VR套裝,,Nintendo Labo Toy-Con 04: VR套裝,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
精靈寶可夢 Let's Go！伊布,精靈寶可夢 Let's Go！伊布,,精靈寶可夢 Let's Go！伊布,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo Labo Toy-Con 03: 駕駛套裝,Nintendo Labo Toy-Con 03: 駕駛套裝,,Nintendo Labo Toy-Con 03: 駕駛套裝,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Tennis Ace,Mario Tennis Ace,,Mario Tennis Ace,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
超回転 寿司ストライカー The Way of Sushido (日文版),超回転 寿司ストライカー The Way of Sushido (日文版),,超回転 寿司ストライカー The Way of Sushido (日文版),Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Donkey Kong Tropical Freeze,Donkey Kong Tropical Freeze,,Donkey Kong Tropical Freeze,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo Labo Toy-Con 02: 機器人套裝,Nintendo Labo Toy-Con 02: 機器人套裝,,Nintendo Labo Toy-Con 02: 機器人套裝,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo Labo Toy-Con 01: 組合套裝,Nintendo Labo Toy-Con 01: 組合套裝,,Nintendo Labo Toy-Con 01: 組合套裝,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
你裁我剪！斯尼帕Plus,你裁我剪！斯尼帕Plus,,你裁我剪！斯尼帕Plus,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokémon FireRed / LeafGreen Version,Pokémon FireRed / LeafGreen Version,,Pokémon FireRed / LeafGreen Version,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
異度神劍X 終極版 Nintendo Switch 2 Edition,異度神劍X 終極版 Nintendo Switch 2 Edition,,異度神劍X 終極版 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
節奏天國 奇蹟之星,節奏天國 奇蹟之星,,節奏天國 奇蹟之星,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,,超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
集合啦！動物森友會 Nintendo Switch 2 Edition,集合啦！動物森友會 Nintendo Switch 2 Edition,,集合啦！動物森友會 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,,超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
超級瑪利歐銀河,超級瑪利歐銀河,,超級瑪利歐銀河,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
薩爾達傳說 曠野之息 Nintendo Switch 2 Edition,薩爾達傳說 曠野之息 Nintendo Switch 2 Edition,,薩爾達傳說 曠野之息 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
薩爾達傳說 王國之淚 Nintendo Switch 2 Edition,薩爾達傳說 王國之淚 Nintendo Switch 2 Edition,,薩爾達傳說 王國之淚 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
咚奇剛 歸來 HD,咚奇剛 歸來 HD,,咚奇剛 歸來 HD,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
瑪利歐＆路易吉RPG 兄弟齊航！,瑪利歐＆路易吉RPG 兄弟齊航！,,瑪利歐＆路易吉RPG 兄弟齊航！,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
永恆蔚藍 流光,永恆蔚藍 流光,,永恆蔚藍 流光,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
名偵探皮卡丘 閃電回歸,名偵探皮卡丘 閃電回歸,,名偵探皮卡丘 閃電回歸,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
皮克敏２,皮克敏２,,皮克敏２,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,,蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
斯普拉遁 3 擴充票,斯普拉遁 3 擴充票,,斯普拉遁 3 擴充票,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
卡比的美食節,卡比的美食節,,卡比的美食節,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
FIRE EMBLEM 無雙 風花雪月,FIRE EMBLEM 無雙 風花雪月,,FIRE EMBLEM 無雙 風花雪月,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo Switch 運動,Nintendo Switch 運動,,Nintendo Switch 運動,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
瑪利歐賽車8 豪華版 新增賽道通行證,瑪利歐賽車8 豪華版 新增賽道通行證,,瑪利歐賽車8 豪華版 新增賽道通行證,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
靈活腦學校 一起伸展大腦,靈活腦學校 一起伸展大腦,,靈活腦學校 一起伸展大腦,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
寶可夢 晶燦鑽石,寶可夢 晶燦鑽石,,寶可夢 晶燦鑽石,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
寶可夢 明亮珍珠,寶可夢 明亮珍珠,,寶可夢 明亮珍珠,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
分享同樂！瓦利歐製造,分享同樂！瓦利歐製造,,分享同樂！瓦利歐製造,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
搭檔任務 秘密搜查組,搭檔任務 秘密搜查組,,搭檔任務 秘密搜查組,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
瑪利歐高爾夫 超級衝衝衝,瑪利歐高爾夫 超級衝衝衝,,瑪利歐高爾夫 超級衝衝衝,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
附帶導航！一做就上手 第一次的遊戲程式設計,附帶導航！一做就上手 第一次的遊戲程式設計,,附帶導航！一做就上手 第一次的遊戲程式設計,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
迷托邦,迷托邦,,迷托邦,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Famicom偵探俱樂部 站在身後的少女,Famicom偵探俱樂部 站在身後的少女,,Famicom偵探俱樂部 站在身後的少女,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
《集合啦！動物森友會》全島轉移服務,《集合啦！動物森友會》全島轉移服務,,《集合啦！動物森友會》全島轉移服務,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
卡比群星戰2,卡比群星戰2,,卡比群星戰2,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
ポケモン不思議のダンジョン 救助隊DX,ポケモン不思議のダンジョン 救助隊DX,,ポケモン不思議のダンジョン 救助隊DX,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
薩爾達傳說 織夢島,薩爾達傳說 織夢島,,薩爾達傳說 織夢島,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
凱登絲勇闖海拉魯：死靈舞師地牢 薩爾達傳說 合作鉅獻,凱登絲勇闖海拉魯：死靈舞師地牢 薩爾達傳說 合作鉅獻,,凱登絲勇闖海拉魯：死靈舞師地牢 薩爾達傳說 合作鉅獻,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Nintendo Labo Toy-Con 04: VR套裝 輕量版（僅附火箭筒）,Nintendo Labo Toy-Con 04: VR套裝 輕量版（僅附火箭筒）,,Nintendo Labo Toy-Con 04: VR套裝 輕量版（僅附火箭筒）,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
耀西的手工世界,耀西的手工世界,,耀西的手工世界,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
精靈寶可夢 Let's Go！皮卡丘,精靈寶可夢 Let's Go！皮卡丘,,精靈寶可夢 Let's Go！皮卡丘,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
進め！キノピオ隊長 體驗版,進め！キノピオ隊長 體驗版,,進め！キノピオ隊長 體驗版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Splatoon™ 2 (美版),Splatoon™ 2 (美版),,Splatoon™ 2 (美版),Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
瑪利歐 + 瘋狂兔子 王國之戰 (日中版),瑪利歐 + 瘋狂兔子 王國之戰 (日中版),,瑪利歐 + 瘋狂兔子 王國之戰 (日中版),Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
星之卡比 新星同盟 體驗版,星之卡比 新星同盟 體驗版,,星之卡比 新星同盟 體驗版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
ポッ拳　POKKÉN TOURNAMENT DX 體驗版,ポッ拳　POKKÉN TOURNAMENT DX 體驗版,,ポッ拳　POKKÉN TOURNAMENT DX 體驗版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
