title,platform,date,meta_score,user_score,esrb_rating,developers,genres
Pokemon Legends: Arceus,Nintendo Switch,2022-01-28,83.0,8.1,E10+,Nintendo,"['RPG', 'Adventure']"
Kirby and the Forgotten Land,Nintendo Switch,2022-03-25,85.0,8.7,E10+,Nintendo,"['Action', 'Platformer']"
Nintendo Switch Sports,Nintendo Switch,2020-07-01,72.0,6.6,E10+,Nintendo,"['Sports', 'Party', 'Multiplayer']"
Mario Strikers: Battle League,Nintendo Switch,2022-06-10,73.0,6.4,E,Nintendo,"['Sports', 'Action', 'Multiplayer']"
Xenoblade Chronicles 3,Nintendo Switch,2022-07-29,89.0,8.5,T,Nintendo,['RPG']
Splatoon 3,Nintendo Switch,2022-09-09,83.0,8.2,E10+,Nintendo,"['Action', 'Shooter', 'Multiplayer']"
Bayonetta 3,Nintendo Switch,2022-10-28,86.0,7.1,M,Nintendo,['Action']
Pokemon Scarlet,Nintendo Switch,2022-11-18,72.0,3.9,E,Nintendo,"['RPG', 'Adventure']"
Pokemon Violet,Nintendo Switch,2022-11-18,72.0,4.0,E,Nintendo,"['RPG', 'Adventure']"
Fire Emblem Engage,Nintendo Switch,2023-01-20,80.0,6.6,T,Nintendo,"['Strategy', 'RPG']"
Metroid Prime Remastered,Nintendo Switch,2023-02-09,94.0,8.8,T,Nintendo,"['Action', 'Adventure', 'First-Person']"
Advance Wars 1+2: Re-Boot Camp,Nintendo Switch,"Apr 21, 2023",81,7.4,E10+,WayForward,"['Strategy', 'Turn-Based']"
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,2023-05-12,96.0,8.4,E10+,Nintendo,"['Action', 'Adventure', 'Open-World']"
Everybody 1-2-Switch!,Nintendo Switch,2023-06-30,56.0,5.4,E,Nintendo,"['Party', 'Multiplayer']"
Super Mario Bros. Wonder,Nintendo Switch,2023-10-20,92.0,8.6,E,Nintendo,"['Action', 'Platformer', '2D']"
Pikmin 4,Nintendo Switch,2023-07-21,87.0,8.8,E10+,Nintendo,"['Strategy', 'Adventure']"
WarioWare: Move It!,Nintendo Switch,2023-11-03,76.0,7.7,E10+,Nintendo,"['Party', 'Action']"
Super Mario RPG,Nintendo Switch,2023-11-17,83.0,8.1,E,Nintendo,['RPG']
Princess Peach: Showtime!,Nintendo Switch,2024-03-22,74.0,7.7,E10+,Nintendo,"['Action', 'Adventure']"
Paper Mario: The Thousand-Year Door,Nintendo Switch,2024-05-23,88.0,8.9,E,Nintendo,"['RPG', 'Adventure']"
Mario vs. Donkey Kong,Nintendo Switch,2024-02-16,77.0,7.8,E,Nintendo,"['Puzzle', 'Platformer']"
The Legend of Zelda: Echoes of Wisdom,Nintendo Switch,2024-09-26,86.0,8.2,E10+,Nintendo,"['Action', 'Adventure', 'Puzzle']"
Super Mario Party Jamboree,Nintendo Switch,2024-10-17,82.0,8.0,E,Nintendo,"['Party', 'Board Game', 'Multiplayer']"
Donkey Kong Country Returns HD,Nintendo Switch,2021-07-16,78.0,7.8,E,Nintendo,"['Action', 'Platformer']"
Xenoblade Chronicles X: Definitive Edition,Nintendo Switch,2025-03-20,86.0,8.2,T,Nintendo,"['RPG', 'Open-World']"
Mario Kart World,Nintendo Switch 2,2025-06-05,,,,Nintendo,"['Racing', 'Multiplayer']"
Donkey Kong Bananza,Nintendo Switch 2,2025-07-17,,,,Nintendo,"['Action', 'Adventure', 'Platformer']"
Kirby and the Forgotten Land + Star-Crossed World,Nintendo Switch 2 Edition,2025-08-28,85.0,8.3,E10+,Nintendo,"['Action', 'Platformer']"
Pokémon Legends: Z-A,Nintendo Switch,2025-10-16,,,E10+,Nintendo,"['RPG', 'Adventure']"
Metroid Prime 4: Beyond,Nintendo Switch,2025-12-04,,,T,Nintendo,"['Action', 'Adventure', 'First-Person']"
Nintendo Switch 2 Welcome Tour,Nintendo Switch 2,2025-06-05,,,,Nintendo,"['Educational', 'Puzzle']"
Nintendo GameCube - Nintendo Classics,Nintendo Switch 2,2025-06-05,,,,Nintendo,"['Retro', 'Collection']"
Drag x Drive,Nintendo Switch 2,2025-08-14,,,,Nintendo,"['Sports', 'Action', 'Multiplayer']"
Hyrule Warriors: Age of Imprisonment,Nintendo Switch 2,2025-11-06,,,,Nintendo,"['Action', 'Adventure']"
Kirby Air Riders,Nintendo Switch 2,2025-11-20,,,,Nintendo,"['Racing', 'Action', 'Multiplayer']"
Mario Tennis Fever,Nintendo Switch 2,2026-02-12,,,,Nintendo,"['Sports', 'Multiplayer']"
Pokemon Pokopia,Nintendo Switch 2,2026-03-05,,,,Nintendo,"['Simulation', 'Adventure']"
Yoshi and the Mysterious Book,Nintendo Switch 2,2026-05-21,,,,Nintendo,"['Adventure', 'Puzzle']"
Star Fox,Nintendo Switch 2,2026-06-25,,,,Nintendo,"['Shooter', 'Action']"
Splatoon Raiders,Nintendo Switch 2,2026-07-23,,,,Nintendo,"['Shooter', 'Action', 'Online']"
Captain Toad: Treasure Tracker,Nintendo Switch,2018-07-13,82.0,7.9,E,Nintendo,"['Action', 'Platformer', '3D']"
Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2026-07-16,,,,Nintendo,['Sports']
Tomodachi Life 朋友收集 夢想生活,Nintendo Switch,2026-04-16,,,,Nintendo,['Simulation']
Pokémon Champions,Nintendo Switch,2026-04-08,,,,Nintendo,['RPG']
Virtual Boy – Nintendo Classics,Nintendo Switch,2026-02-17,,,,Nintendo,['Adventure']
密特羅德 究極4 穿越未知 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2025-12-04,,,,Nintendo,['Shooter']
寶可夢傳說 Z-A Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2025-10-16,,,,Nintendo,['RPG']
Overcooked 2,Nintendo Switch,2018-08-07,,,,Nintendo,['RPG']
超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV,Nintendo Switch 2 Edition,2025-07-24,,,,Nintendo,['Party']
Pokémon Friends,Nintendo Switch,2025-07-22,,,,Nintendo,['RPG']
異度神劍X 終極版,Nintendo Switch,2025-03-20,,,,Nintendo,['RPG']
Fitness Boxing 3: Your Personal Trainer,Nintendo Switch,2024-12-05,,,,Nintendo,['Sports']
Famicom偵探俱樂部 笑臉男ＥＭＩＯ,Nintendo Switch,2024-08-29,,,,Nintendo,['Adventure']
Nintendo World Championships Famicom世界大會,Nintendo Switch,2024-07-18,,,,Nintendo,['Adventure']
路易吉洋樓２ HD,Nintendo Switch,2024-06-27,,,,Nintendo,['Adventure']
Arcade Archives: Vs. Super Mario Bros.,Nintendo Switch,2024-02-16,,7.4,E,Nintendo,"['Action', 'Platformer', '2D']"
Another Code 回憶錄：兩種記憶／記憶之門,Nintendo Switch,2024-01-19,,,,Nintendo,['Adventure']
Nintendo 64™ – Nintendo Classics 18+,Nintendo Switch,2023-11-30,,,,Nintendo,['Adventure']
F-ZERO 99,Nintendo Switch,2023-09-15,,,,Nintendo,['Adventure']
皮克敏１,Nintendo Switch,2023-06-22,,,,Nintendo,['Adventure']
星之卡比 Wii 豪華版,Nintendo Switch,2023-02-24,,,,Nintendo,['Platformer']
Game Boy Advance™ – Nintendo Classics,Nintendo Switch,2023-02-09,,,,Nintendo,['Adventure']
Game Boy™ – Nintendo Classics,Nintendo Switch,2023-02-09,,,,Nintendo,['Adventure']
Luigi's Mansion 3,Nintendo Switch,2019-10-31,86.0,8.5,E,Nintendo,"['Action Adventure', 'General']"
Fire Emblem Warriors,Nintendo Switch,2017-09-28,74.0,7.9,T,Nintendo,"['Action', ""Beat-'Em-Up"", '3D']"
Mario Kart 8 Deluxe,Nintendo Switch,2017-04-28,92.0,8.6,E,Nintendo,"['Other', 'Racing', 'Arcade', 'Automobile']"
Mario Party™ Superstars（瑪利歐派對 超級巨星）,Nintendo Switch,2021-10-29,,,,Nintendo,['Party']
Nintendo 64™ – Nintendo Classics,Nintendo Switch,2021-10-26,,,,Nintendo,['Adventure']
SEGA Mega Drive - Nintendo Switch Online,Nintendo Switch,2021-10-26,,,,Nintendo,['Adventure']
DC Super Hero Girls: Teen Power,Nintendo Switch,2021-06-04,,,,Nintendo,['Adventure']
Famicom偵探俱樂部 消失的繼承人,Nintendo Switch,2021-05-14,,,,Nintendo,['Adventure']
New Pokemon Snap,Nintendo Switch,2021-04-30,,,,"['Bandai Namco Games', ' The Pokemon Company']","['Action', 'Shooter', 'Rail']"
Super Mario 3D World + Bowser's Fury,Nintendo Switch,2021-02-12,,,,Nintendo,"['Action', 'Platformer', '3D']"
Fitness Boxing 2: Rhythm & Exercise,Nintendo Switch,2020-12-03,,,,Nintendo,['Sports']
Part Time UFO,Nintendo Switch,2020-10-28,79.0,7.3,E10+,Nintendo,"['Action', 'Arcade']"
[Pokémon Café Mix]歡迎光臨！寶可夢咖啡店 ～拌拌繽紛趣～,Nintendo Switch,2020-06-24,,,,Nintendo,['RPG']
Jump Rope Challenge,Nintendo Switch,2020-06-16,,7.4,,Nintendo,"['Action', 'General']"
Clubhouse Games: 51 Worldwide Classics,Nintendo Switch,2020-06-05,82.0,7.8,E,Nintendo,"['Miscellaneous', 'Party / Minigame']"
Good Job!,Nintendo Switch,2020-03-26,78.0,7.7,E,Nintendo,"['Action', 'General']"
Pokken Tournament DX,Nintendo Switch,2017-09-22,79.0,7.6,E10+,Nintendo,"['Action', 'Fighting', '3D']"
Pokemon HOME,Nintendo Switch,2020-02-12,,2.0,E,Nintendo,"['Miscellaneous', 'Application']"
Tokyo Mirage Sessions #FE Encore,Nintendo Switch,2020-01-17,81.0,6.2,T,Nintendo,"['Role-Playing', 'Japanese-Style']"
擔架拍擋™,Nintendo Switch,2019-11-08,,,,Nintendo,['Adventure']
Super Famicom Nintendo Classics,Nintendo Switch,2019-09-06,,,,Nintendo,['Adventure']
Marvel Ultimate Alliance 3: The Black Order,Nintendo Switch,2019-07-19,73.0,7.3,T,Nintendo,"['Role-Playing', 'Action RPG']"
Super Mario Maker 2,Nintendo Switch,2019-06-28,88.0,8.5,E,Nintendo,"['Action', 'Platformer', '2D']"
BOXBOY! ＋ BOXGIRL!,Nintendo Switch,2019-04-26,,,,Nintendo,['Adventure']
Tetris 99,Nintendo Switch,2019-04-23,83.0,8.3,E,Nintendo,"['Puzzle', 'Stacking']"
Family Computer Nintendo Classics,Nintendo Switch,2019-04-23,,,,Nintendo,['Adventure']
Nintendo Labo Toy-Con 04: VR套裝,Nintendo Switch,2019-04-12,,,,Nintendo,['Puzzle']
New Super Mario Bros. U Deluxe,Nintendo Switch,2019-01-11,80.0,7.0,E,Nintendo,"['Action', 'Platformer', '2D']"
精靈寶可夢 Let's Go！伊布,Nintendo Switch,2018-11-16,,,,Nintendo,['RPG']
The World Ends with You: Final Remix,Nintendo Switch,2018-10-12,77.0,7.1,T,Nintendo,"['Role-Playing', 'Action RPG']"
Super Mario Party,Nintendo Switch,2018-10-05,76.0,7.2,E,Nintendo,"['Miscellaneous', 'Party / Minigame']"
Nintendo Labo Toy-Con 03: 駕駛套裝,Nintendo Switch,2018-09-14,,,,Nintendo,['Puzzle']
Go Vacation,Nintendo Switch,2018-07-27,62.0,7.8,E,Nintendo,"['Miscellaneous', 'Party / Minigame']"
Mario Tennis Ace,Nintendo Switch,2018-06-22,,,,Nintendo,['Sports']
超回転 寿司ストライカー The Way of Sushido (日文版),Nintendo Switch,2018-06-08,,,,Nintendo,['Adventure']
Sushi Striker: The Way of Sushido,Nintendo Switch,2018-06-08,76.0,7.8,E,Nintendo,"['Puzzle', 'Matching']"
Donkey Kong Tropical Freeze,Nintendo Switch,2018-05-03,,,,Nintendo,['Adventure']
Nintendo Labo Toy-Con 02: 機器人套裝,Nintendo Switch,2018-04-20,,,,Nintendo,['Puzzle']
Nintendo Labo Toy-Con 01: 組合套裝,Nintendo Switch,2018-04-20,,,,Nintendo,['Puzzle']
Splatoon 2,Nintendo Switch,2017-07-21,83.0,8.5,E10+,Nintendo,"['Action', 'Shooter', 'Third-Person', 'Arcade']"
你裁我剪！斯尼帕Plus,Nintendo Switch,2017-11-10,,,,Nintendo,['Puzzle']
ARMS,Nintendo Switch,2017-06-16,77.0,7.1,E10+,Nintendo,"['Action', 'Sports', 'Fighting', 'Individual', '3D', 'Combat', 'Boxing / Martial Arts']"
1-2-Switch,Nintendo Switch,2017-03-03,58.0,4.8,E10+,Nintendo,"['Miscellaneous', 'Party / Minigame']"
Pokémon FireRed / LeafGreen Version,Nintendo Switch,2026-02-27,,,,Nintendo,['RPG']
Celeste,Nintendo Switch,2018-01-25,,,,,
Hades,Nintendo Switch,2020-09-17,,,,,
Hollow Knight,Nintendo Switch,2018-06-12,,,,,
Metroid Dread,Nintendo Switch,2021-10-08,,,,Nintendo,['Shooter']
Stardew Valley,Nintendo Switch,2017-10-05,,,,,
異度神劍X 終極版 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2026-02-19,,,,Nintendo,['RPG']
節奏天國 奇蹟之星,Nintendo Switch,2026-07-02,,,,Nintendo,['Rhythm']
超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,Nintendo Switch 2 Edition,2026-03-26,,,,Nintendo,['Adventure']
集合啦！動物森友會 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2026-01-15,,,,Nintendo,['Simulation']
超級瑪利歐銀河 ＋ 超級瑪利歐銀河 ２,Nintendo Switch,2025-10-02,,,,Nintendo,['Adventure']
超級瑪利歐銀河,Nintendo Switch,2025-10-02,,,,Nintendo,['Adventure']
薩爾達傳說 曠野之息 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2025-06-05,,,,Nintendo,['Adventure']
薩爾達傳說 王國之淚 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2025-06-05,,,,Nintendo,['Adventure']
咚奇剛 歸來 HD,Nintendo Switch,2025-01-16,,,,Nintendo,['Adventure']
瑪利歐＆路易吉RPG 兄弟齊航！,Nintendo Switch,2024-11-07,,,,Nintendo,['Adventure']
永恆蔚藍 流光,Nintendo Switch,2024-05-02,,,,Nintendo,['Adventure']
名偵探皮卡丘 閃電回歸,Nintendo Switch,2023-10-06,,,,Nintendo,['Adventure']
皮克敏２,Nintendo Switch,2023-06-22,,,,Nintendo,['Adventure']
蓓優妮塔 起源︰瑟蕾莎與迷失的惡魔,Nintendo Switch,2023-03-17,,,,Nintendo,['Fighting']
斯普拉遁 3 擴充票,Nintendo Switch,2023-02-09,,,,Nintendo,['Shooter']
Bayonetta,Nintendo Switch,2022-09-30,84.0,8.3,M,Nintendo,"['Action Adventure', 'Linear']"
卡比的美食節,Nintendo Switch,2022-08-17,,,,Nintendo,['Platformer']
FIRE EMBLEM 無雙 風花雪月,Nintendo Switch,2022-06-24,,,,Nintendo,['RPG']
Nintendo Switch 運動,Nintendo Switch,2022-04-29,,,,Nintendo,['Sports']
瑪利歐賽車8 豪華版 新增賽道通行證,Nintendo Switch,2022-03-18,,,,Nintendo,['Racing']
靈活腦學校 一起伸展大腦,Nintendo Switch,2021-12-03,,,,Nintendo,['Adventure']
寶可夢 晶燦鑽石,Nintendo Switch,2021-11-19,,,,Nintendo,['RPG']
寶可夢 明亮珍珠,Nintendo Switch,2021-11-19,,,,Nintendo,['RPG']
分享同樂！瓦利歐製造,Nintendo Switch,2021-09-10,,,,Nintendo,['Party']
搭檔任務 秘密搜查組,Nintendo Switch,2021-08-20,,,,Nintendo,['Adventure']
瑪利歐高爾夫 超級衝衝衝,Nintendo Switch,2021-06-25,,,,Nintendo,['Adventure']
附帶導航！一做就上手 第一次的遊戲程式設計,Nintendo Switch,2021-06-11,,,,Nintendo,['Adventure']
迷托邦,Nintendo Switch,2021-05-21,,,,Nintendo,['Adventure']
Famicom偵探俱樂部 站在身後的少女,Nintendo Switch,2021-05-14,,,,Nintendo,['Adventure']
Hyrule Warriors: Age of Calamity,Nintendo Switch,2020-11-20,79.0,8.1,T,Nintendo,"['Action', ""Beat-'Em-Up"", '3D']"
《集合啦！動物森友會》全島轉移服務,Nintendo Switch,2020-11-19,,,,Nintendo,['Simulation']
Mario Kart Live: Home Circuit,Nintendo Switch,2020-10-16,75.0,7.3,E,Nintendo,"['Racing', 'Arcade', 'Automobile']"
卡比群星戰2,Nintendo Switch,2020-09-24,,,,Nintendo,['Platformer']
Paper Mario: The Origami King,Nintendo Switch,2020-07-17,80.0,7.0,E,Nintendo,"['Role-Playing', 'General']"
Xenoblade Chronicles: Definitive Edition,Nintendo Switch,2020-05-29,89.0,8.9,T,Nintendo,"['Role-Playing', 'Action RPG']"
Animal Crossing: New Horizons,Nintendo Switch,2020-03-20,90.0,5.5,E,Nintendo,"['Simulation', 'Virtual', 'Virtual Life']"
ポケモン不思議のダンジョン 救助隊DX,Nintendo Switch,2020-03-06,,,,Nintendo,['Adventure']
Pokemon Sword,Nintendo Switch,2019-11-15,80.0,4.6,E,Nintendo,"['Role-Playing', 'Trainer']"
Pokemon Shield,Nintendo Switch,2019-11-15,80.0,4.6,E,Nintendo,"['Role-Playing', 'Trainer']"
Ring Fit Adventure,Nintendo Switch,2019-10-18,83.0,8.7,E10+,Nintendo,"['Miscellaneous', 'Exercise / Fitness']"
薩爾達傳說 織夢島,Nintendo Switch,2019-09-20,,,,Nintendo,['Adventure']
Super Kirby Clash,Nintendo Switch,2019-09-05,74.0,7.4,E,Nintendo,"['Action', 'General']"
Astral Chain,Nintendo Switch,2019-08-30,87.0,8.9,T,Nintendo,"['Action Adventure', 'General']"
Fire Emblem: Three Houses,Nintendo Switch,2019-07-26,89.0,8.7,T,Nintendo,"['Strategy', 'Turn-Based', 'Tactics']"
凱登絲勇闖海拉魯：死靈舞師地牢 薩爾達傳說 合作鉅獻,Nintendo Switch,2019-06-14,,,,Nintendo,['Adventure']
Nintendo Labo Toy-Con 04: VR套裝 輕量版（僅附火箭筒）,Nintendo Switch,2019-04-12,,,,Nintendo,['Puzzle']
耀西的手工世界,Nintendo Switch,2019-03-29,,,,Nintendo,['Platformer']
Super Smash Bros. Ultimate,Nintendo Switch,2018-12-07,93.0,8.6,E10+,Nintendo,"['Action', 'Fighting', '2D']"
精靈寶可夢 Let's Go！皮卡丘,Nintendo Switch,2018-11-16,,,,Nintendo,['RPG']
進め！キノピオ隊長 體驗版,Nintendo Switch,2018-06-20,,,,Nintendo,['Platformer']
Pokemon Quest,Nintendo Switch,2018-06-01,64.0,6.5,E,Nintendo,"['Role-Playing', 'Action RPG']"
Splatoon™ 2 (美版),Nintendo Switch,2018-04-03,,,,Nintendo,['Shooter']
瑪利歐 + 瘋狂兔子 王國之戰 (日中版),Nintendo Switch,2018-04-03,,,,Nintendo,['Adventure']
星之卡比 新星同盟 體驗版,Nintendo Switch,2018-04-03,,,,Nintendo,['Platformer']
ポッ拳　POKKÉN TOURNAMENT DX 體驗版,Nintendo Switch,2018-04-03,,,,Nintendo,['Fighting']
Kirby Star Allies,Nintendo Switch,2018-03-16,73.0,7.5,E10+,Nintendo,"['Action', 'Platformer', '2D']"
Xenoblade Chronicles 2,Nintendo Switch,2017-12-01,83.0,8.7,T,Nintendo,"['Role-Playing', 'Action RPG']"
Super Mario Odyssey,Nintendo Switch,2017-10-27,97.0,8.9,E10+,Nintendo,"['Action', 'Platformer', '3D']"
The Legend of Zelda: Breath of the Wild,Nintendo Switch,2017-03-03,97.0,8.7,E10+,Nintendo,"['Action Adventure', 'Open-World']"
